timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,timestamp_sec
1092902077508305.0,0.194752,1.477917,0.456671,0.668597,-0.205153,-0.220837,-0.679795,1092902.0
1092902110837055.0,0.198809,1.491122,0.468341,0.669495,-0.203649,-0.224018,-0.678321,1092902.0
1092902144058653.0,0.202418,1.507091,0.474164,0.666754,-0.20892,-0.224929,-0.679115,1092902.0
1092902177387403.0,0.205097,1.519279,0.48513,0.664339,-0.213722,-0.22287,-0.680665,1092902.0
1092902210539437.0,0.207404,1.531325,0.494873,0.664713,-0.214024,-0.221141,-0.68077,1092902.0
1092902243868187.0,0.208524,1.542464,0.505659,0.66537,-0.212458,-0.218209,-0.681563,1092902.0
1092902277196937.0,0.209186,1.554012,0.515697,0.664467,-0.212755,-0.214698,-0.683464,1092902.0
1092902310525687.0,0.209237,1.565982,0.524626,0.66345,-0.214183,-0.211798,-0.68491,1092902.0
1092902343847036.0,0.208964,1.576202,0.533101,0.663745,-0.213763,-0.207984,-0.685923,1092902.0
1092902377175786.0,0.208416,1.588478,0.539646,0.663719,-0.213008,-0.204607,-0.687198,1092902.0
1092902410458819.0,0.207663,1.600403,0.544755,0.66215,-0.215406,-0.200914,-0.689051,1092902.0
1092902443787569.0,0.20644,1.613628,0.548618,0.66202,-0.217487,-0.196027,-0.689929,1092902.0
1092902477116319.0,0.204811,1.627413,0.551931,0.663577,-0.21691,-0.191571,-0.689867,1092902.0
1092902510445069.0,0.203092,1.642329,0.554881,0.664342,-0.215763,-0.190535,-0.689777,1092902.0
1092902543764819.0,0.201556,1.659208,0.557809,0.664613,-0.21628,-0.190591,-0.689338,1092902.0
1092902577093569.0,0.199289,1.675547,0.561898,0.664933,-0.218385,-0.188473,-0.688949,1092902.0
1092902610402932.0,0.196804,1.693126,0.56652,0.665403,-0.220192,-0.185696,-0.688674,1092902.0
1092902643731682.0,0.194349,1.710076,0.574369,0.667241,-0.217668,-0.184689,-0.687968,1092902.0
1092902677060432.0,0.191995,1.726965,0.584413,0.668335,-0.214948,-0.180517,-0.688868,1092902.0
1092902710389182.0,0.189659,1.744854,0.595743,0.667139,-0.216686,-0.180134,-0.689582,1092902.0
1092902743855674.0,0.187992,1.764096,0.608036,0.666736,-0.218179,-0.187706,-0.68748,1092902.0
1092902777184424.0,0.187005,1.780694,0.621487,0.668316,-0.215705,-0.192175,-0.685488,1092902.0
1092902810513174.0,0.187494,1.795762,0.635246,0.667757,-0.212284,-0.191131,-0.68739,1092902.0
1092902843626923.0,0.187892,1.811427,0.646195,0.664727,-0.211834,-0.19127,-0.69042,1092902.0
1092902876955673.0,0.189081,1.826289,0.65871,0.662498,-0.210188,-0.195017,-0.692016,1092902.0
1092902910284423.0,0.19057,1.840495,0.67046,0.661199,-0.206821,-0.197879,-0.693459,1092902.0
1092902943547256.0,0.190405,1.856718,0.677622,0.660253,-0.207089,-0.200045,-0.693659,1092902.0
1092902976876006.0,0.191791,1.871626,0.686657,0.660333,-0.207344,-0.204184,-0.692299,1092902.0
1092903010204756.0,0.193516,1.886324,0.69475,0.661367,-0.20527,-0.207144,-0.69105,1092903.0
1092903043509762.0,0.194717,1.902362,0.701098,0.660624,-0.20522,-0.207076,-0.691795,1092903.0
1092903076838512.0,0.197499,1.918005,0.70666,0.658623,-0.206082,-0.207885,-0.693202,1092903.0
1092903110167262.0,0.200797,1.933831,0.71145,0.657816,-0.2043,-0.210306,-0.693766,1092903.0
1092903143565439.0,0.204654,1.950321,0.716895,0.655873,-0.202235,-0.209638,-0.696408,1092903.0
1092903176894189.0,0.209055,1.966563,0.72075,0.654254,-0.201982,-0.208895,-0.698225,1092903.0
1092903210222939.0,0.213237,1.983099,0.725181,0.656413,-0.200607,-0.210247,-0.696186,1092903.0
1092903243548801.0,0.217599,1.99989,0.731277,0.660542,-0.196363,-0.211223,-0.693189,1092903.0
1092903276877551.0,0.222697,2.015923,0.738908,0.663557,-0.194801,-0.207891,-0.691756,1092903.0
1092903310071966.0,0.228819,2.031298,0.747425,0.664529,-0.197596,-0.203575,-0.691314,1092903.0
1092903343400716.0,0.234048,2.049007,0.757836,0.665416,-0.20031,-0.207221,-0.688591,1092903.0
1092903376729466.0,0.239363,2.066052,0.769512,0.666464,-0.201382,-0.214728,-0.684954,1092903.0
1092903410058216.0,0.24489,2.080799,0.782496,0.666604,-0.201444,-0.211735,-0.685732,1092903.0
1092903443435390.0,0.250176,2.093921,0.794897,0.66671,-0.196745,-0.208598,-0.687951,1092903.0
1092903476764140.0,0.254948,2.107025,0.807758,0.666982,-0.192326,-0.20987,-0.688549,1092903.0
1092903510092890.0,0.259543,2.119991,0.819787,0.664312,-0.192686,-0.209809,-0.691044,1092903.0
1092903543374293.0,0.263209,2.134821,0.831628,0.660452,-0.197489,-0.206831,-0.694278,1092903.0
1092903576703043.0,0.266217,2.148383,0.841692,0.659525,-0.199555,-0.206406,-0.694695,1092903.0
1092903610031793.0,0.268495,2.162473,0.850927,0.660493,-0.198262,-0.208897,-0.6934,1092903.0
1092903643461275.0,0.270304,2.177523,0.858421,0.660096,-0.198557,-0.208968,-0.693671,1092903.0
1092903676790025.0,0.272111,2.19224,0.865087,0.659184,-0.199837,-0.206855,-0.694804,1092903.0
1092903710118775.0,0.273663,2.20725,0.870341,0.659217,-0.198879,-0.205564,-0.695431,1092903.0
1092903743299905.0,0.275428,2.224803,0.874655,0.658738,-0.197534,-0.204783,-0.696497,1092903.0
1092903776628655.0,0.276132,2.241453,0.877434,0.657618,-0.199298,-0.202992,-0.697577,1092903.0
1092903809957405.0,0.275705,2.258963,0.879902,0.658488,-0.200486,-0.20257,-0.696537,1092903.0
1092903843132674.0,0.27497,2.277821,0.883911,0.662046,-0.198807,-0.20525,-0.692852,1092903.0
1092903876461424.0,0.272699,2.296556,0.887885,0.666056,-0.198195,-0.208872,-0.688085,1092903.0
1092903909790174.0,0.270246,2.318145,0.894812,0.671273,-0.197753,-0.212463,-0.682016,1092903.0
1092903943077709.0,0.26742,2.336425,0.903502,0.676786,-0.197747,-0.21161,-0.676815,1092903.0
1092903976406459.0,0.265182,2.354974,0.914895,0.678148,-0.198852,-0.210241,-0.675553,1092903.0
1092904009735209.0,0.26355,2.373798,0.927821,0.675983,-0.200953,-0.215061,-0.675584,1092904.0
1092904042902495.0,0.261304,2.391445,0.940628,0.676805,-0.202159,-0.22025,-0.672723,1092904.0
1092904076231245.0,0.260668,2.406671,0.956216,0.678399,-0.197731,-0.218298,-0.67307,1092904.0
1092904109559995.0,0.261106,2.42081,0.971589,0.677368,-0.192166,-0.216647,-0.676246,1092904.0
1092904142834359.0,0.260473,2.433885,0.983963,0.674403,-0.193885,-0.215321,-0.679136,1092904.0
1092904176163109.0,0.260591,2.448288,0.996468,0.67118,-0.197208,-0.217642,-0.680631,1092904.0
1092904209491859.0,0.260698,2.462313,1.007629,0.669729,-0.19798,-0.222055,-0.680411,1092904.0
1092904242833946.0,0.259665,2.476699,1.015731,0.670063,-0.199287,-0.224036,-0.679049,1092904.0
1092904276162696.0,0.260151,2.490544,1.024514,0.670457,-0.199834,-0.223657,-0.678625,1092904.0
1092904309468627.0,0.260756,2.50452,1.031089,0.670069,-0.198289,-0.223706,-0.679445,1092904.0
1092904342797377.0,0.262392,2.519183,1.036998,0.668574,-0.197588,-0.22395,-0.681039,1092904.0
1092904376126127.0,0.264588,2.534282,1.041426,0.665968,-0.197959,-0.223167,-0.683736,1092904.0
